[[0.6857382763476265], [0.672078564095266], [0.4744711701638433], [0.7703366266562343], [0.7595260961098734], [0.6188326198542999], [0.3978032698875563], [0.46117886441877165], [0.7686895055327044], [0.631746820862489], [0.6750075707947609], [0.8640597802920454], [0.4285794248382473], [0.5648753965160337], [0.48845287237483465], [0.572101133248104], [0.5646442094378633], [0.44748575610151187], [0.5044568599590213], [0.5797993900336152], [0.4796715030846831], [0.5873752230195654], [0.7069113769730797], [0.5339065151483027], [0.6168536450260657], [0.7136397779044611], [0.7294922399768449], [0.8892937583846052], [0.44837927954713586], [0.7455191748716643], [0.7329129292640055], [0.61581976799183], [0.5241593251520638], [0.445019919851265], [0.4844908621059295], [0.5446256825789424], [0.5547832463700856], [0.6597810674356324], [0.7043846562437088], [0.6216376556448653], [0.44855757852807165], [0.5373099750041622], [0.67554781102241], [0.5660969002131409], [0.6595483920932399], [0.502960041150989], [0.6924556682431434], [0.48008196487728205], [0.7308794480561115], [0.7155824144795994], [0.6526011381848504], [0.6150649773158734], [0.3830831806208034], [0.5179032331546551], [0.4871821255417021], [0.64203247118417], [0.8834109614119476], [0.471237126372853], [0.5043873467836779], [0.5173868292432448], [0.4657135101972043], [0.5935470015340031], [0.6912969048648553], [0.5357132810460671]]
[[0.5979754305277655], [0.5624229482390228], [0.4744711701638433], [0.5043696330451319], [0.6203107318549282], [0.5855608993856709], [0.2806314279396076], [0.34386329241370306], [0.5556058076179219], [0.631746820862489], [0.49545599637294724], [0.6441705903511716], [0.3521147697145135], [0.45685203078413245], [0.43337458346252067], [0.5697339171048332], [0.40593796408800753], [0.2808642208930339], [0.36593488265356183], [0.4775388027330053], [0.4796715030846831], [0.41036599690751135], [0.47016135222598043], [0.48667599124890304], [0.3998431497226929], [0.6339643087093592], [0.5825875384592573], [0.5474833784288013], [0.3557468520539794], [0.5517849856479683], [0.47995963055271773], [0.5101013891359354], [0.3124266439314374], [0.3372404361513935], [0.3850982124648247], [0.4030512419374751], [0.39850538127917445], [0.38229136425947274], [0.4692992836715458], [0.5248370981697441], [0.2656008969337096], [0.4663662226201955], [0.3831949931883582], [0.3398194537759123], [0.5157693332668206], [0.25827002180085235], [0.6513563643771325], [0.39650053648513506], [0.6024820348273447], [0.5149219802400901], [0.7042617346376774], [0.4125576099409418], [0.38562384767192703], [0.5179032331546551], [0.4300713283032682], [0.525586575699853], [0.8834109614119476], [0.34808469134252146], [0.47228556161881774], [0.5173868292432448], [0.353074557363121], [0.49570815735155116], [0.6781271085188847], [0.33774750763816724]]
[[0.696210908234293], [0.692345400089595], [0.6409580882954345], [0.6278941067148299], [0.6005030596807374], [0.48259594691749436], [0.3946490235832737], [0.6231215111721169], [0.6446266901806372], [0.5748099833317856], [0.7535757263050925], [0.7357673198498668], [0.48316064732748243], [0.5364110670367971], [0.45309290740553276], [0.5595216641084306], [0.4825263348363219], [0.4525387347823232], [0.5429474553632383], [0.5477597348896386], [0.48364191607706447], [0.6839746831690678], [0.7066598760151451], [0.6593911633232207], [0.5106382554632989], [0.7136397779044611], [0.6058655954558891], [0.730298701880667], [0.542584262499922], [0.7392319552224665], [0.48228478993005874], [0.786427401009727], [0.5259176069570114], [0.5283865473372016], [0.4384700606428762], [0.530806960082482], [0.5174732449103597], [0.5290811592184989], [0.48790153274575937], [0.6418999962616967], [0.6267878479627125], [0.6071236047827149], [0.6441554267651088], [0.5682761959956656], [0.6619021824848763], [0.5099589862112078], [0.6063657853173079], [0.6450680167042768], [0.5321419867132229], [0.8609183803115487], [0.674025011183877], [0.4586105489012415], [0.47184106919680646], [0.49247915883505433], [0.466180105772452], [0.4918864079683862], [0.7855764667741284], [0.5253207344436194], [0.48399667995633056], [0.4442945999028352], [0.3724911069089466], [0.679953634949279], [0.6912969048648553], [0.5357132810460671]]
[[0.6802097720187686], [0.5609811884153938], [0.6409580882954345], [0.7278333387720193], [0.4700217563176376], [0.5028290116799344], [0.33097666088624866], [0.4268477706433671], [0.6955411919893635], [0.5748099833317856], [0.5073669854816834], [0.6996886037516193], [0.3288843630569894], [0.6163919115025505], [0.46530146932941446], [0.5039508843329898], [0.4570016088145987], [0.41383921103100285], [0.4840031641025655], [0.556387764110603], [0.5891094703116797], [0.48070060101189344], [0.6575309320062843], [0.5897736452261826], [0.5855061015058258], [0.7830266425719986], [0.7294922399768449], [0.7634600523971453], [0.5006756305214577], [0.5670652991283496], [0.47995963055271773], [0.5984289814955763], [0.4737507398191857], [0.3824613165098133], [0.5298148545657333], [0.5215204317211874], [0.39761314664177894], [0.5544875357359001], [0.48790153274575937], [0.696779417868065], [0.49384855603425554], [0.5131212993002238], [0.6897656976834399], [0.44577642888625896], [0.6609980440273433], [0.5117976466408874], [0.5170791173195276], [0.477764575906047], [0.4543888858688838], [0.728493861602518], [0.7042617346376774], [0.6104222457475672], [0.5611964626858149], [0.4685048622589988], [0.4340169650339866], [0.5220858148294287], [0.7918041765765476], [0.5796489289858933], [0.4910966779549518], [0.47095515340970895], [0.3878137805518529], [0.41288457984764837], [0.5521244874287524], [0.432049803913433]]
[[0.7945769009978564], [0.6322556521343774], [0.6409580882954345], [0.6173334841425048], [0.5410023051090285], [0.5587960237684987], [0.42286131826369944], [0.3907179465518437], [0.5052155468282915], [0.631746820862489], [0.5840864227608695], [0.7362308313711216], [0.45051855374903926], [0.5217274278795483], [0.4992217334963062], [0.699669315314414], [0.5251010303496073], [0.41383921103100285], [0.4867352169074529], [0.4404850702008082], [0.5685575591697793], [0.6568724100811412], [0.6575309320062843], [0.7155065921867294], [0.4877001817730691], [0.6603358943739324], [0.5866373543862403], [0.7752445840436064], [0.5066814049628998], [0.5802905899567224], [0.6233383362610586], [0.5984289814955763], [0.6439569493739046], [0.5425642350932134], [0.4501732091983581], [0.5065778915755512], [0.46521040684695847], [0.4357151254811629], [0.48790153274575937], [0.6006150145014707], [0.49527310896803783], [0.55626360413631], [0.6441554267651088], [0.5474719204523218], [0.6869988456026832], [0.5573692690006053], [0.6924556682431434], [0.548722635754737], [0.5932891457847725], [0.6980180335430062], [0.7042617346376774], [0.6851439235340491], [0.5611964626858149], [0.644035629897945], [0.4424401483126337], [0.5487857123702983], [0.6339545552716598], [0.47249949590279255], [0.49263044238629167], [0.6136194926173741], [0.3827986171128863], [0.5212134977553232], [0.5889352653157724], [0.4335020366689003]]
[[0.8033071722571907], [0.6454376034111163], [0.5446764431833666], [0.6049146461770019], [0.4922930393886369], [0.5500300024834555], [0.36527905481719275], [0.38446456178160926], [0.5061983584201237], [0.6673894697749303], [0.6185776575491756], [0.7705109759215847], [0.3277330806090682], [0.5485993157802355], [0.4874274197970931], [0.43706503849573575], [0.5240309391049851], [0.47454141333434363], [0.5662468703566298], [0.5797993900336152], [0.5284052857666155], [0.5373133232474181], [0.5825705166443303], [0.6793113759491842], [0.4818750684376163], [0.7136397779044611], [0.6096034444545337], [0.6414948396644415], [0.5336187972324371], [0.5545017272158], [0.7663899545699699], [0.786427401009727], [0.6099535632355089], [0.4061246300028228], [0.4384700606428762], [0.638347205948102], [0.5132811285855255], [0.4232766211280881], [0.5795009293667], [0.6596356125532614], [0.49384855603425554], [0.4800449394793969], [0.5619407199445208], [0.48320535712135004], [0.5177497928605334], [0.42666532857591477], [0.5365576917883925], [0.5137410817931369], [0.5932891457847725], [0.7594333773937813], [0.6486048015389159], [0.5275291717379507], [0.5611964626858149], [0.49247915883505433], [0.5915003799801153], [0.5992713818690449], [0.6948357370519339], [0.39656243081024134], [0.5467303069378255], [0.590902045399535], [0.35804458470618866], [0.6294674846071225], [0.6912969048648553], [0.5357132810460671]]
[[0.9260832930168362], [0.7073519711408696], [0.46941083102228426], [0.5975037208799292], [0.6112508804641734], [0.6031381042253253], [0.3983440254327686], [0.4981004388783924], [0.6955411919893635], [0.6773969240074104], [0.5371916489489464], [0.9337036822291905], [0.38830025810505464], [0.5471286408613375], [0.5866457546117093], [0.456014765841844], [0.5443337957590874], [0.5385184162323795], [0.5180512828741805], [0.5306752973052151], [0.5690664729934191], [0.5355075160670548], [0.6575309320062843], [0.6313972345758923], [0.537773964682224], [0.7136397779044611], [0.669973310110178], [0.6577655601097425], [0.563131238994904], [0.5921764324700962], [0.6904669920383216], [0.6810172012785575], [0.5589484780448546], [0.43367806390141994], [0.4124676941222103], [0.5215204317211874], [0.5547832463700856], [0.555114437588552], [0.4993398900386327], [0.5510333592597093], [0.5516231750946043], [0.532100091232948], [0.8006438471751144], [0.5572149480181019], [0.6688646295536432], [0.4847958302669101], [0.7473314630656323], [0.5854972644024329], [0.8160975417961903], [0.7155824144795994], [0.585699768442678], [0.4576567366650858], [0.47408397140561], [0.608117430317586], [0.5894388757126918], [0.6408074234301213], [0.7765472246414163], [0.43041068237812635], [0.6097403040759527], [0.5545705547435569], [0.4049199967623395], [0.5692014996601418], [0.7630265855711897], [0.5357132810460671]]
[[0.7416955966462847], [0.7442329907379188], [0.6113822407388361], [0.6811439680805762], [0.7866989209852975], [0.6449523137201268], [0.4239116425003887], [0.4944374713847635], [0.7750879496126967], [0.7215934980499829], [0.6119347662959163], [0.80747992996695], [0.3719598108123352], [0.752273413549499], [0.5003528859527513], [0.5856381927775961], [0.5217832829207641], [0.44351610071220393], [0.4867352169074529], [0.6005281824017082], [0.5204790756211788], [0.45176825718966684], [0.6575309320062843], [0.7155065921867294], [0.5455596859291968], [0.832034043344899], [0.7631607974267447], [0.8256689099057382], [0.5154623692544981], [0.7392319552224665], [0.6233383362610586], [0.6090865104416824], [0.4589909025950673], [0.509871984333458], [0.4384700606428762], [0.5483731873345561], [0.5132811285855255], [0.5409430971418956], [0.639266567946908], [0.6370450983952718], [0.4957607836099625], [0.7871818922968697], [0.6344818124025506], [0.4738065224098007], [0.6869988456026832], [0.44824859881936496], [0.6937011449284607], [0.6515155905725725], [0.5932891457847725], [0.666798505277597], [0.6755020751431657], [0.6216203510762986], [0.5611964626858149], [0.5593189546515078], [0.4655255846049359], [0.5018585521392017], [0.7638235943141207], [0.4624717010532826], [0.558468228940753], [0.7759329383785002], [0.45701756989221354], [0.5942959985844736], [0.7005350076706324], [0.5228866778066718]]
[[0.6857382763476265], [0.6213079975165933], [0.4984086800285241], [0.6238311273090561], [0.5574021447465601], [0.681824388068557], [0.3954600346747157], [0.46117886441877165], [0.7686895055327044], [0.8122528885345952], [0.5884992121015591], [0.759158358795235], [0.3521147697145135], [0.4721484144129843], [0.515392679311375], [0.5063181004762606], [0.6201177159661863], [0.6049981157520057], [0.5829165016530873], [0.5860481112839087], [0.6325107538047066], [0.5873752230195654], [0.6617271796182165], [0.5858506150652767], [0.520381963353553], [0.7136397779044611], [0.8716936995638038], [0.6866480080201727], [0.4930137498363486], [0.7353209609394761], [0.48864967605693965], [0.5980110298143224], [0.5224511090180946], [0.32617991106763045], [0.4384700606428762], [0.4342422958652984], [0.6110231918555974], [0.5580079759447689], [0.5470999910578628], [0.5308651501645425], [0.5184035127989024], [0.5090962767376299], [0.5714846408646606], [0.5117938682085246], [0.6595483920932399], [0.3883588275219175], [0.7784986700800606], [0.5229760053434622], [0.6559404869019049], [0.7689908927243305], [0.6755020751431657], [0.6878784027968212], [0.4581545658038688], [0.5179032331546551], [0.4844876640573412], [0.5466077672563413], [0.7629900224278711], [0.5354566180022773], [0.6072514425218855], [0.5827682002567007], [0.47971635279724173], [0.5935470015340031], [0.6912969048648553], [0.5357132810460671]]
[[0.6340689160935068], [0.6068507495681218], [0.6409580882954345], [0.7365994457940703], [0.5653414784557372], [0.5906003210322838], [0.39335096197385055], [0.5815299163025388], [0.704996443481998], [0.622561990249756], [0.7735345111983873], [0.7357673198498668], [0.416835230554633], [0.44836732785436034], [0.5468504326659547], [0.4943483186847251], [0.4655994419133876], [0.39515063713702625], [0.5429474553632383], [0.6863860017986021], [0.4922806096211404], [0.5464095879854298], [0.6297410321480348], [0.47792693897893973], [0.5005480381848981], [0.5325573918346358], [0.7294922399768449], [0.6687720791372207], [0.6513682920926648], [0.6347201744221455], [0.5486338782452309], [0.786427401009727], [0.6379818417316818], [0.5033272126458842], [0.44985762223416664], [0.530806960082482], [0.624033373229827], [0.5580079759447689], [0.5239100245716894], [0.6638169863566112], [0.48545456887743355], [0.5552288540983579], [0.6441554267651088], [0.5682761959956656], [0.5302931945949126], [0.5335026759228165], [0.748556233906226], [0.7216833525442579], [0.5512288648149728], [0.7724184240657845], [0.7698301914272598], [0.6086594707019157], [0.44874778878464394], [0.5022085676093727], [0.6124500587497355], [0.6212921826387572], [0.6919559887214972], [0.5376748663610238], [0.5265078808761647], [0.5132159930700986], [0.39202040369851926], [0.7053352321342066], [0.6331339325079235], [0.4969702442308675]]
