[[0.7576078556492738], [0.9171616246024015], [0.4455211073800973], [0.6074614485197072], [0.7446145350102379], [0.5089129225987556], [0.38587055065385995], [0.6323440815742566], [0.6795455911413039], [0.8122528885345952], [0.5884992121015591], [0.7705109759215847], [0.48316064732748243], [0.5441925327721536], [0.4860475321374124], [0.5366144939270602], [0.5187476995078926], [0.42203447341398415], [0.5429474553632383], [0.7480248875917076], [0.489361882527932], [0.5873752230195654], [0.5911881265728971], [0.7217993472795539], [0.5823355728834415], [0.7136397779044611], [0.6345026807561344], [0.5789220851860453], [0.5062172659948372], [0.7392319552224665], [0.4998884268113487], [0.5762399341439384], [0.6370712259780158], [0.38363492985282993], [0.4305433204728825], [0.4678797320906928], [0.5238337957787778], [0.49000490699666444], [0.6104268683373988], [0.6293972130123514], [0.4763213483724645], [0.6071236047827149], [0.5745666165079649], [0.5265170597971578], [0.6619021824848763], [0.5096810384579663], [0.5403593258892135], [0.4858317015579741], [0.6985170198901088], [0.6695269857968084], [0.5506554204693027], [0.4576567366650858], [0.37999028656161427], [0.5452662017142933], [0.5126981476334747], [0.5928459409084661], [0.8834109614119476], [0.5796489289858933], [0.508166885939781], [0.6223523686377271], [0.42931354968055896], [0.7591802659085596], [0.7288038250413038], [0.5357132810460671]]
[[0.5797931991113296], [0.5604450800361258], [0.5757615407063892], [0.5089586277243263], [0.4980543462150969], [0.586847648050455], [0.25821637742713444], [0.28651956891452707], [0.5166495205451904], [0.6433078475279591], [0.5314419652073082], [0.7088884449960902], [0.29712457579076007], [0.5522560505797777], [0.6300109746881903], [0.34262046303558247], [0.4704459368524124], [0.2936577501493233], [0.44461892944773007], [0.38990437963591834], [0.5747334401633948], [0.3695179258993629], [0.5652566925319451], [0.554717462489014], [0.5726459757051369], [0.6339643087093592], [0.6749977918750614], [0.6948407042765415], [0.43614033542849134], [0.4837959996737098], [0.37318153377975094], [0.4725648769390184], [0.5269210448839611], [0.37467349901291613], [0.32619034738937136], [0.3677833902977147], [0.5701909900873456], [0.40730027455227313], [0.5639465272215581], [0.793933489516933], [0.36319937660838353], [0.5805919099561578], [0.5436065321075966], [0.434408271554838], [0.49157667117894654], [0.5656398848979785], [0.8097316876697153], [0.4991265736337517], [0.5456823862100235], [0.8054183123928303], [0.4625762208888192], [0.4592160081076493], [0.36376254788913864], [0.640039289496059], [0.5885315283608763], [0.6931939731491913], [0.7068334680351449], [0.42417891753977566], [0.5279200288073898], [0.4990138939465436], [0.2785820855925121], [0.4310797881667276], [0.6781271085188847], [0.567870322210179]]
[[0.8033071722571907], [0.6454376034111163], [0.591938052100506], [0.6753777611910305], [0.6920179210243377], [0.647799397155313], [0.405617953537956], [0.6386836963667446], [0.691536239075799], [0.6831003615576545], [0.5834796090886605], [0.7705109759215847], [0.3942558111276936], [0.6040432467950747], [0.5003528859527513], [0.5743523726954896], [0.5810737323371895], [0.41383921103100285], [0.45525744310463223], [0.7316950756531084], [0.5891094703116797], [0.5417822730167597], [0.6314277398528715], [0.812560885954063], [0.5847975634576772], [0.6938788192676181], [0.6096034444545337], [0.7864303645914732], [0.5533813447445933], [0.5517849856479683], [0.5833652946467912], [0.7677130781720822], [0.5306519116162558], [0.5234886069316755], [0.38481128616076454], [0.5416199053987321], [0.474842579269532], [0.6597810674356324], [0.6583675030533152], [0.5825389880812315], [0.4546571923606487], [0.588989148413213], [0.6897656976834399], [0.5002594620272408], [0.5797177450482721], [0.42666532857591477], [0.5850472304128655], [0.602132838714839], [0.5720311215910353], [0.6984625355285357], [0.7698301914272598], [0.5211602150155099], [0.5611964626858149], [0.5650792510475822], [0.561372162909548], [0.6179033734345031], [0.7462484895649474], [0.5485291719104076], [0.5607639966591479], [0.5685191459819239], [0.4657135101972043], [0.6294674846071225], [0.6229352409338795], [0.4559830233748134]]
[[0.7383503293601219], [0.9092341521172784], [0.6409580882954345], [0.6874728612527738], [0.7188213364302486], [0.8369938228260054], [0.3978032698875563], [0.8034126188631577], [0.6542187070604615], [0.7215934980499829], [0.6750075707947609], [0.7705109759215847], [0.4675861916951945], [0.8051920261100608], [0.6910035191729809], [0.4709251801163664], [0.5810737323371895], [0.4606401119394955], [0.5436036558207071], [0.8606437568280452], [0.5173154134327956], [0.5909869837356679], [0.7229057746298087], [0.7728350642036231], [0.6168536450260657], [0.7830266425719986], [0.5719079322344433], [0.6780913143859011], [0.5871239505871979], [0.8137566078844781], [0.6431421957629784], [0.6413475863287657], [0.6712348788335101], [0.6995505239596833], [0.4123165687255945], [0.5215204317211874], [0.729822710932885], [0.6047737381870579], [0.7110928324221434], [0.6809563344625958], [0.4702229378011974], [0.563199125652987], [0.6932969048640222], [0.5406564409423552], [0.7378160869083488], [0.5796899850087726], [0.8257270936751565], [0.6644607798182962], [0.7603813910703479], [0.7843122038008462], [0.6549483071572084], [0.6838468251345392], [0.4468494351672061], [0.49247915883505433], [0.7003828060124259], [0.5985215096148364], [0.777575963630133], [0.471237126372853], [0.7389580900191757], [0.6310689213364091], [0.44064965890299546], [0.7984730034900993], [0.6912969048648553], [0.5771923500206548]]
[[0.6909387979190494], [0.9092341521172784], [0.46512425688355286], [0.7703366266562343], [0.6210022104349405], [0.5174203103456991], [0.36789457371992895], [0.5391782188712038], [0.5840592733242722], [0.6552927286330863], [0.49545599637294724], [0.651424341698022], [0.39817350913309024], [0.45820725004431584], [0.515392679311375], [0.5319226172936835], [0.537608706836437], [0.41383921103100285], [0.5736848075023284], [0.742080874178005], [0.6148640323117118], [0.5373133232474181], [0.6575309320062843], [0.7122299226432461], [0.5341456258339229], [0.6296458131204791], [0.6428333303513519], [0.8256689099057382], [0.4494452311990965], [0.62143056518289], [0.6575276957550601], [0.5984289814955763], [0.6439569493739046], [0.42092191569523574], [0.4501732091983581], [0.49488385359574244], [0.5132811285855255], [0.5337697868525731], [0.5795009293667], [0.6025767391179617], [0.5838394235572624], [0.6828311558413139], [0.6094101173545399], [0.6589825430200849], [0.7691103717537415], [0.5312884965579396], [0.7897864839535571], [0.4978466323829144], [0.52616031345622], [0.8304425522520369], [0.674025011183877], [0.6878784027968212], [0.5682999042244108], [0.47404161228269925], [0.590054288166098], [0.502190580489309], [0.870687331084652], [0.5477012201556768], [0.5607639966591479], [0.6463485449132725], [0.3425291122393511], [0.7984730034900993], [0.6229352409338795], [0.520358198030942]]
[[0.6857382763476265], [0.6406747442969465], [0.6099737108901919], [0.6049146461770019], [0.7089327451994315], [0.6102496109408395], [0.38581981976907365], [0.5572352988307879], [0.7175311103699997], [0.7680563144920227], [0.6185776575491756], [0.7392491907957472], [0.3817279007580196], [0.5441925327721536], [0.515392679311375], [0.43706503849573575], [0.524236686075792], [0.48173651038350007], [0.4851933716288958], [0.48100366940072903], [0.5782540298874044], [0.526919910429457], [0.5793558352260482], [0.5787093037728177], [0.5812176989994001], [0.7136397779044611], [0.7533423008612996], [0.5506962894826004], [0.6138103827633709], [0.5204057706304659], [0.5355255422439938], [0.61581976799183], [0.37983379185989147], [0.43459058246782295], [0.47144738565137045], [0.5898254252123507], [0.4215110926615877], [0.6597810674356324], [0.5239215034680159], [0.6320819842308996], [0.5140872745098924], [0.6003220102188741], [0.6487046972255818], [0.509484574653598], [0.5931717888381722], [0.5096810384579663], [0.5614966083891246], [0.5666302804431355], [0.5627567857822071], [0.7771441780002775], [0.674025011183877], [0.49007544639013856], [0.5611964626858149], [0.49247915883505433], [0.48768778017684344], [0.49803635923361256], [0.8898620257317875], [0.5357886922153752], [0.5607639966591479], [0.47772086826086435], [0.4000107902884923], [0.5434577793047537], [0.6912969048648553], [0.5357132810460671]]
[[0.6618009772609619], [0.583215413940694], [0.591938052100506], [0.6238311273090561], [0.5993736050598526], [0.6037870382375039], [0.4291905328351406], [0.5572352988307879], [0.7175311103699997], [0.5748099833317856], [0.5377956784107998], [0.7297808633268399], [0.3602079978267728], [0.5364110670367971], [0.41430137312595655], [0.3925657220563844], [0.5990294518200052], [0.41383921103100285], [0.5829165016530873], [0.6115397666450184], [0.5782540298874044], [0.5701598950921607], [0.6575309320062843], [0.812560885954063], [0.6208365088676745], [0.7229097959176115], [0.62226736124023], [0.6620242128318935], [0.4719609196354206], [0.5101285070810306], [0.7351552927204462], [0.61581976799183], [0.6712348788335101], [0.34516482679556915], [0.4750682092451658], [0.5416199053987321], [0.47773567829976904], [0.6597810674356324], [0.6163295196843225], [0.7369431514076888], [0.5006887203329657], [0.5555468417850281], [0.6866417632216515], [0.4625511555654609], [0.6069562441183507], [0.5096810384579663], [0.6128588316302421], [0.5745736285671079], [0.5661073318654092], [0.785577301421116], [0.674025011183877], [0.46181156400337037], [0.5611964626858149], [0.5588492903937301], [0.5371371230285784], [0.5512412529263235], [0.705103345344863], [0.4647997584355615], [0.5607639966591479], [0.5617974996642324], [0.4657135101972043], [0.6839719928780914], [0.6435597947193551], [0.49515530564006954]]
[[0.7139437840125467], [0.6805138565165194], [0.5629622195621722], [0.6811439680805762], [0.512257862421638], [0.576158725157276], [0.4394227678650887], [0.726287349117575], [0.6955411919893635], [0.6935020369686712], [0.5945356383085474], [0.7357673198498668], [0.5324199744791127], [0.5485993157802355], [0.5807172575483013], [0.5856381927775961], [0.5541929062261642], [0.46702394233326566], [0.5595795881379175], [0.5797993900336152], [0.5056960635612433], [0.6086381347287138], [0.605600003410181], [0.6226398661217791], [0.5988203700047284], [0.7229097959176115], [0.7631607974267447], [0.8212660988778819], [0.6122964558465471], [0.6795494396879114], [0.5433676970385051], [0.786427401009727], [0.5576668047735537], [0.5090653288034436], [0.5027357479984661], [0.530806960082482], [0.5741883869957853], [0.540171477230162], [0.750120010730954], [0.6894876074284183], [0.539418395305679], [0.5555468417850281], [0.7591828556796815], [0.4376050346849493], [0.6022605959986855], [0.5929662725709364], [0.6452878674174831], [0.657924992125457], [0.5956768288168635], [0.8399491076195932], [0.5631826452947111], [0.4576567366650858], [0.44874778878464394], [0.49691815329682376], [0.4357651822064045], [0.6059199896567447], [0.8236485542068726], [0.47017092619197515], [0.5588701424680851], [0.5991949236104317], [0.47971635279724173], [0.7053352321342066], [0.6912969048648553], [0.5357132810460671]]
[[0.6658937830156948], [0.8370064769813775], [0.6686671444106982], [0.7703366266562343], [0.7125544827879796], [0.6256140587566565], [0.35432481093161133], [0.3738562022233379], [0.5378635896607888], [0.6503872205743001], [0.5454218749652182], [0.7705109759215847], [0.3713760890182143], [0.6159762886814871], [0.4874274197970931], [0.3395810396153612], [0.47670548300884963], [0.5503116916562453], [0.4781095208817299], [0.5669536719222669], [0.6176906361493246], [0.5854578238811825], [0.6085542611782752], [0.8351295949909567], [0.5825912051627552], [0.5255682468878953], [0.5137704454752354], [0.7716888824067849], [0.4915794411254085], [0.5515826165983572], [0.5054787096726387], [0.7047518048291066], [0.5544887724328524], [0.43228165733296336], [0.4305433204728825], [0.6133492538735787], [0.591127724818155], [0.5697883124892711], [0.5520918443469165], [0.6879113944310475], [0.4607635179333747], [0.602388067495797], [0.5619407199445208], [0.42306090281852876], [0.5799325595231366], [0.3931277187717564], [0.7784986700800606], [0.6614779930973216], [0.5307287105681263], [0.6057873413868303], [0.6019511487049466], [0.5386575038330224], [0.4175660033201543], [0.3862376312311666], [0.4196283957026712], [0.529336915750469], [0.6845004838425116], [0.581173231039259], [0.4684948611066039], [0.5316889777207104], [0.3959434309734899], [0.437579835142546], [0.732154794928482], [0.48326977136253757]]
[[0.9172305193246522], [0.6741971039654665], [0.5936964793782952], [0.5595551252400583], [0.5845505838706703], [0.8369938228260054], [0.43559375613182766], [0.4215817540870724], [0.5629084503847873], [0.6820322526811394], [0.5840864227608695], [0.9116067397380639], [0.49000135838326164], [0.6416567574006223], [0.5287462049380401], [0.699669315314414], [0.48771211750860843], [0.49557457522592746], [0.47944352013577635], [0.6847237270081588], [0.44777517105001424], [0.6336072301168222], [0.6814648232116558], [0.74970968072753], [0.5812176989994001], [0.6568826074653532], [0.4626987429369462], [0.5789269269721189], [0.4387383600310081], [0.5327278739178877], [0.6539385414520705], [0.5984289814955763], [0.5727588056245609], [0.496801078920729], [0.4384700606428762], [0.474068351390249], [0.3594798218787322], [0.623423772423916], [0.7110813535258169], [0.6772302708598127], [0.5786441413828307], [0.5555468417850281], [0.603063251435316], [0.7814997668377103], [0.594558312897591], [0.5096810384579663], [0.6188216124148972], [0.6621751741610746], [0.7009078123011132], [0.8304425522520369], [0.6294228625243995], [0.6211653448604109], [0.35245096186850056], [0.6090937832009367], [0.41489896983703556], [0.6027132476852166], [0.7316829510722533], [0.6610132021468234], [0.48661337106929886], [0.49761760504728997], [0.48732553303835907], [0.6171983338934536], [0.6963895658914444], [0.49448734526078014]]
